GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
Local Authority,Gross Current Expenditure,8110115,2022,820,E10000016,Kent,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1917
Local Authority,Gross Current Expenditure,8110115,2022,910,E06000024,North Somerset,E12000009,South West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,739
Local Authority,Gross Current Expenditure,8110115,2022,U6Q5Z,E06000062,West Northamptonshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,861
Region,Gross Current Expenditure,8110115,2022,,,,E12000007,London,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,29109
Region,Gross Current Expenditure,8110115,2022,,,,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,24569
Local Authority,Gross Current Expenditure,8110115,2022,109,E08000023,South Tyneside,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,74
Local Authority,Gross Current Expenditure,8110115,2022,206,E08000018,Rotherham,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1469
Local Authority,Gross Current Expenditure,8110115,2022,207,E08000019,Sheffield,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2062
Local Authority,Gross Current Expenditure,8110115,2022,210,E08000033,Calderdale,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,462
Local Authority,Gross Current Expenditure,8110115,2022,214,E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,702
Local Authority,Gross Current Expenditure,8110115,2022,217,E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,74
Local Authority,Gross Current Expenditure,8110115,2022,219,E06000014,York,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,536
